"MUNICIPALITY","DISTRICT","LONGITUDE","LATITUDE","ROOMS","FLOOR_AREA","BALCONY","ELEVATOR","IS_YOUTH","IS_SENIOR","RENT","PUBLISHED","LEASE_TYPE"
"Sundbyberg","Hallonbergen",17.971435547,59.378406627,"1","17",false,true,false,false,"18793","2024-12-19","Hyresrätt"
"Stockholm","Liljeholmen",18.025511436,59.313287895,"1","17",false,true,false,false,"19013","2024-12-19","Hyresrätt"
"Nacka","Fisksätra",18.255155128,59.291947913,"3","72",true,false,false,false,"9113","2024-12-19","Hyresrätt"
"Nacka","Orminge",18.255050182,59.327295371,"1","22",false,false,false,false,"7641","2024-12-19","Hyresrätt"
"Sollentuna","Tureberg",17.943756977,59.428335428,"2","67",true,true,false,false,"4961","2024-12-19","Hyresrätt"
"Sigtuna","Valsta",17.843298912,59.616770718,"2","60",true,false,false,false,"10534","2024-12-19","Hyresrätt"
"Sigtuna","Valsta",17.843298912,59.616770718,"1","20",false,true,false,false,"8538","2024-12-19","Hyresrätt"
"Stockholm","Östermalm",18.080982,59.342487,"1","24",false,true,false,false,"8459","2024-12-19","Korttidskontrakt"
"Stockholm","Södermalm",18.060186498,59.314910531,"1","43",true,true,false,false,"6636","2024-12-19","Studentlägenhet"
"Stockholm","Husby",17.93121345,59.405921089,,"33",true,true,false,false,"11797","2024-12-19","Hyresrätt"
"Stockholm","Bandhagen",18.051576621,59.270384254,"2","55",true,true,false,false,"11646","2024-12-19","Hyresrätt"
"Stockholm","Midsommarkransen",18.003166,59.29745,"3","70",true,true,false,false,"8329","2024-12-19","Korttidskontrakt"
"Botkyrka","Alby",17.845637798,59.240045795,"2","58",true,true,false,false,"10325","2024-12-19","Hyresrätt"
"Stockholm","Ladugårdsgärdet",18.102524818,59.346741506,"1","24",false,true,false,false,"5581","2024-12-19","Studentlägenhet"
"Botkyrka","Alby",17.845637798,59.240045795,"4","106",true,true,false,false,"10125","2024-12-19","Hyresrätt"
"Södertälje","Karlhov",17.60810275,59.207854439,"2","60",true,false,false,false,"10178","2024-12-19","Hyresrätt"
"Järfälla","Söderhöjden",17.850358486,59.41699637,"1","25",true,true,false,false,"9580","2024-12-19","Hyresrätt"
"Stockholm","Södermalm",18.079906007,59.312439572,"1","20",false,true,true,false,"4278","2024-12-19","UngdomKorttid"
"Solna","Hagalund",18.005333576,59.363099304,"1","33",false,false,false,false,"11738","2024-12-19","Hyresrätt"
"Lidingö","Skärsätra",18.157778868,59.347893581,"2","56",true,true,false,false,"8716","2024-12-19","Hyresrätt"
"Stockholm","Hässelby Strand",17.831091556,59.361979638,"2","45",true,true,false,false,"6548","2024-12-19","Hyresrätt"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"3","79",true,true,false,false,"6777","2024-12-19","Studentlägenhet"
"Huddinge","Sjödalen-Fullersta",17.98458588,59.238315606,"2","55",true,true,false,false,"8691","2024-12-19","Hyresrätt"
"Stockholm","Älvsjö",18.002382,59.28148,"4","108",true,true,false,false,"6781","2024-12-19","Studentlägenhet"
"Stockholm","Rågsved",18.034662201,59.254762613,"1","14",false,true,false,false,"7819","2024-12-19","Hyresrätt"
"Stockholm","Solberga",18.006274023,59.285768012,"1","28",true,true,false,false,"6284","2024-12-19","Hyresrätt"
"Stockholm","Rågsved",18.028157247,59.261501001,,"35",true,true,false,false,"9421","2024-12-19","Hyresrätt"
"Stockholm","Bagarmossen",18.126995859,59.282010597,"1","26",false,true,false,false,"7951","2024-12-19","Hyresrätt"
"Stockholm","Johanneshov",18.08964818,59.290869819,"3","75",true,true,false,false,"10479","2024-12-19","Hyresrätt"
"Stockholm","Södermalm",18.052911613,59.316733403,"3","75",true,true,false,false,"10729","2024-12-19","Hyresrätt"
"Stockholm","Rinkeby",17.925318351,59.386827954,"3","75",true,true,false,false,"8722","2024-12-19","Hyresrätt"
"Huddinge","Vårby",17.889010603,59.267205585,"2","67",true,true,false,false,"10729","2024-12-19","Hyresrätt"
"Stockholm","Rinkeby",17.929757077,59.389126343,"2","67",true,true,false,false,"11980","2024-12-19","Hyresrätt"
"Haninge","Brandbergen",18.178484635,59.171486207,"2","68",true,true,false,false,"9730","2024-12-19","Hyresrätt"
"Sundbyberg","Sundbyberg Centrum",17.967728318,59.364248946,"2","54",true,true,true,false,"4605","2024-12-19","UngdomKorttid"
"Stockholm","Lilla Essingen",18.006775682,59.324246737,"2","54",true,true,true,false,"5729","2024-12-19","UngdomKorttid"
"Lidingö","Larsberg",18.143902728,59.34861914,"2","54",true,true,false,false,"9998","2024-12-19","Hyresrätt"
"Sollentuna","Rotebro",17.909564084,59.475987195,"2","54",true,true,false,false,"7508","2024-12-19","Korttidskontrakt"
"Stockholm","Sköndal",18.120596409,59.254221725,"2","54",true,true,false,false,"3897","2024-12-19","Studentkorridor"
"Stockholm","Sköndal",18.120596409,59.254221725,"2","54",true,true,false,false,"3897","2024-12-19","Studentkorridor"
"Stockholm","Råcksta",17.885961538,59.356680202,"2","35",true,true,false,false,"12834","2024-12-19","Hyresrätt"
"Stockholm","Sköndal",18.127022,59.25196,"1","36",true,true,false,false,"2547","2024-12-19","Studentlägenhet"
"Stockholm","Husby",17.930750737,59.405282105,"4","83",true,false,false,false,"9371","2024-12-19","Hyresrätt"
"Sigtuna","Sigtuna",17.716593849,59.622636101,"3","83",true,true,false,false,"8342","2024-12-19","Hyresrätt"
"Stockholm","Kungsholmen",18.025689759,59.333803658,"1","30",false,true,false,false,"6408","2024-12-19","Studentlägenhet"
"Stockholm","Vasastaden",18.048114147,59.336975804,"3","77",true,true,true,false,"4475","2024-12-19","Ungdomslägenhet"
"Stockholm","Södra Hammarbyhamnen",18.11221216,59.305765192,"2","41",true,true,false,false,"8635","2024-12-19","Hyresrätt"
"Stockholm","Västberga",18.011302668,59.295946825,"3","74",true,false,true,false,"6376","2024-12-19","UngdomKorttid"
"Stockholm","Solberga",18.006423839,59.288360634,"1","35",false,true,false,false,"11858","2024-12-19","Hyresrätt"
"Stockholm","Årsta",18.044299118,59.295015705,"2","31",false,true,false,false,"12077","2024-12-19","Hyresrätt"
"Stockholm","Södra Hammarbyhamnen",18.111431074,59.307197869,"2","57",false,true,false,false,"10878","2024-12-19","Hyresrätt"
"Stockholm","Ladugårdsgärdet",18.102524818,59.346741506,"3","79",true,false,false,false,"5508","2024-12-19","Studentlägenhet"
"Södertälje","Ronna",17.591872791,59.206183822,"1","27",true,true,false,false,"14078","2024-12-19","Hyresrätt"
"Stockholm","Tensta",17.898276809,59.391323087,"1","40",false,true,false,false,"6511","2024-12-19","Hyresrätt"
"Stockholm","Norra Djurgården",18.055839213,59.353051298,"3","79",false,true,false,false,"5831","2024-12-19","Studentlägenhet"
"Stockholm","Norra Djurgården",18.05953,59.35726,"1","27",true,true,false,false,"7375","2024-12-19","Studentlägenhet"
"Stockholm","Norra Djurgården",18.061085926,59.352350018,"1","34",true,true,false,false,"6760","2024-12-19","Studentlägenhet"
"Stockholm","Råcksta",17.883236078,59.356975071,"2","35",true,true,false,false,"10638","2024-12-19","Hyresrätt"
"Värmdö","Gustavsberg",18.381886482,59.320612015,"2","46",true,true,false,false,"9126","2024-12-19","Hyresrätt"
"Stockholm","Vasastaden",18.04443452,59.338754199,"2","65",true,false,false,false,"15408","2024-12-19","Hyresrätt"
"Värmdö","Gustavsberg",18.383747884,59.322784654,"1","27",true,false,false,false,"10294","2024-12-19","Hyresrätt"
"Stockholm","Tensta",17.907869692,59.394994115,"4","90",true,true,false,false,"13442","2024-12-19","Hyresrätt"
"Stockholm","Norra Djurgården",18.059334755,59.355585173,"3","84",true,true,false,false,"6004","2024-12-19","Studentkorridor"
"Stockholm","Södermalm",18.055479686,59.31040317,"1","34",true,true,false,false,"6235","2024-12-19","Studentlägenhet"
"Stockholm","Bromsten",17.910686731,59.378343234,"2","62",true,false,false,false,"9900","2024-12-19","Hyresrätt"
"Haninge","Handen",18.135607131,59.158073298,"2","63",true,true,true,false,"5512","2024-12-20","UngdomKorttid"
"Stockholm","Bandhagen",18.053633,59.2699,"4","90",true,true,false,false,"17174","2024-12-20","Hyresrätt"
"Stockholm","Bandhagen",18.053633,59.2699,"1","27",false,false,false,false,"17174","2024-12-20","Hyresrätt"
"Stockholm","Bandhagen",18.053633,59.2699,"1","44",true,true,false,false,"17174","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.85235405,59.41616664,"2","41",false,false,false,false,"13865","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.85235405,59.41616664,"2","45",false,false,false,false,"13865","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.85235405,59.41616664,"2","58",true,false,false,false,"13992","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.85235405,59.41616664,"3","75",true,true,false,false,"12084","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.85235405,59.41616664,"3","59",false,false,false,false,"12084","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.85235405,59.41616664,"1","25",false,true,false,false,"12084","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.85235405,59.41616664,"1","21",false,false,false,false,"12084","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"1","28",false,true,false,false,"12212","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"1","30",true,true,false,false,"11957","2024-12-20","Hyresrätt"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"2","68",true,true,false,false,"11957","2024-12-20","Hyresrätt"
"Stockholm","Åkeshov",17.93397,59.333878,"1","36",true,true,false,false,"10683","2024-12-20","Hyresrätt"
"Södertälje","Blombacka",17.597242986,59.189714646,"1","29",false,true,false,false,"10126","2024-12-20","Hyresrätt"
"Österåker","Hacksta",18.307323217,59.485088181,"1","25",false,true,false,false,"8028","2024-12-20","Hyresrätt"
"Sollentuna","Rotsunda",17.916635975,59.4818444,"2","69",true,true,false,false,"9817","2024-12-20","Korttidskontrakt"
"Nacka","Fisksätra",18.253531837,59.290855873,"3","79",true,false,false,false,"12598","2024-12-20","Hyresrätt"
"Tyresö","Bollmora",18.22294,59.246876,"2","52",true,true,false,false,"7526","2024-12-20","Hyresrätt"
"Järfälla","Barkarbystaden",17.864424448,59.408750972,"3","70",true,true,false,false,"16225","2024-12-20","Hyresrätt"
"Haninge","Vega",18.136861324,59.185662927,"2","63",true,true,true,false,"9118","2024-12-20","Ungdomslägenhet"
"Nynäshamn","Nynäshamn Centrum",17.940888405,58.898306153,"1","25",false,true,false,false,"10848","2024-12-20","Hyresrätt"
"Stockholm","Farsta",18.100683689,59.249125872,"1","32",false,false,true,false,"7935","2024-12-20","Ungdomslägenhet"
"Salem","Rönninge",17.74983,59.19388,"2","47",true,true,false,false,"8963","2024-12-20","Hyresrätt"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"2","40",true,false,false,false,"8668","2024-12-20","Studentlägenhet"
"Sigtuna","Sigtuna",17.715880364,59.622556713,"1","45",false,true,false,false,"10048","2024-12-20","Hyresrätt"
"Täby","Täby park",18.090633,59.44525,"1","33",true,true,false,false,"10191","2024-12-20","Hyresrätt"
"Stockholm","Kista",17.943893502,59.404232383,"2","44",true,true,false,false,"8052","2024-12-20","Studentlägenhet"
"Stockholm","Vasastaden",18.037697639,59.344311483,"1","39",true,true,false,true,"12684","2024-12-20","SeniorbostadPlus65"
"Järfälla","Barkarbystaden",17.86875844,59.415768144,"3","74",false,false,false,false,"5195","2024-12-20","Hyresrätt"
"Järfälla","Barkarbystaden",17.869563103,59.415844568,"1","39",true,true,false,false,"5812","2024-12-20","Hyresrätt"
"Stockholm","Midsommarkransen",18.003845,59.297646,"2","52",true,true,false,false,"11165","2024-12-20","Korttidskontrakt"
"Stockholm","Liljeholmen",18.03006276,59.303907187,"1","27",true,true,false,false,"10332","2024-12-20","Hyresrätt"
"Upplands Väsby","Smedby",17.919239827,59.511083732,"1","27",true,true,false,false,"10415","2024-12-20","Hyresrätt"
"Stockholm","Hässelby Gård",17.839153112,59.366487473,"1","26",false,true,true,false,"3993","2024-12-20","Ungdomslägenhet"
"Stockholm","Södermalm",18.095178684,59.310744259,"2","50",true,true,false,false,"10350","2024-12-20","Hyresrätt"
"Haninge","Jordbro",18.134693,59.14154,"2","52",true,true,false,false,"15976","2024-12-20","Hyresrätt"
"Stockholm","Vasastaden",18.044658157,59.34402151,"1","27",false,true,false,false,"10427","2024-12-20","Hyresrätt"
"Järfälla","Jakobsbergs Centrum",17.837624144,59.421221394,"1","25",false,true,true,false,"7962","2024-12-20","Ungdomslägenhet"
"Stockholm","Rinkeby",17.924265799,59.388578075,"1","26",false,true,false,false,"9332","2024-12-20","Hyresrätt"
"Nacka","Fisksätra",18.257801293,59.292859028,"1","21",false,true,false,false,"9602","2024-12-20","Hyresrätt"
"Järfälla","Barkarbystaden",17.866996085,59.413972724,"4","108",true,true,false,false,"14980","2024-12-20","Hyresrätt"
