"MUNICIPALITY","DISTRICT","LONGITUDE","LATITUDE","ROOMS","FLOOR_AREA","BALCONY","ELEVATOR","IS_YOUTH","IS_SENIOR","RENT","PUBLISHED","LEASE_TYPE"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"1","24",false,true,false,false,"4959","2024-12-17","Studentlägenhet"
"Stockholm","Rinkeby",17.925021949,59.389975565,"1","24",false,true,false,false,"8616","2024-12-17","Hyresrätt"
"Stockholm","Riksby",17.94134709,59.340528728,"3","84",true,true,false,false,"5502","2024-12-17","Hyresrätt"
"Stockholm","Riksby",17.937730322,59.339196104,"1","24",false,true,false,false,"6123","2024-12-17","Hyresrätt"
"Stockholm","Sätra",17.917466347,59.284293108,"1","24",false,true,false,false,"10229","2024-12-17","Hyresrätt"
"Stockholm","Västberga",17.996942588,59.294043048,"1","24",false,true,false,false,"7047","2024-12-17","Hyresrätt"
"Stockholm","Husby",17.926434936,59.407803673,"1","40",false,true,false,false,"5047","2024-12-17","Hyresrätt"
"Sundbyberg","Hallonbergen",17.970660925,59.377802203,"1","24",false,true,false,false,"8607","2024-12-17","Hyresrätt"
"Haninge","Vega",18.13842,59.185528,"1","24",false,true,false,false,"10415","2024-12-17","Hyresrätt"
"Stockholm","Vasastaden",18.036032698,59.345731845,"1","29",false,true,false,false,"9517","2024-12-17","Korttidskontrakt"
"Sundbyberg","Ursvik",17.948945761,59.381966277,"1","29",false,true,false,false,"8321","2024-12-17","Hyresrätt"
"Järfälla","Söderdalen",17.831786871,59.416357698,"1","29",false,true,false,false,"15018","2024-12-17","Hyresrätt"
"Järfälla","Söderdalen",17.832226753,59.415817274,"1","29",false,true,false,false,"7255","2024-12-17","Hyresrätt"
"Stockholm","Norra Ängby",17.887330055,59.350838114,"1","29",false,true,true,false,"6290","2024-12-17","UngdomKorttid"
"Sundbyberg","Ursvik",17.951982021,59.380698529,"1","29",false,true,false,false,"12922","2024-12-17","Hyresrätt"
"Stockholm","Rinkeby",17.932584491,59.385084437,"2","61",false,true,false,false,"10990","2024-12-17","Hyresrätt"
"Stockholm","Sköndal",18.116518038,59.25610076,"1","30",true,true,false,false,"16194","2024-12-17","Hyresrätt"
"Stockholm","Vårberg",17.888521136,59.279012421,"2","64",true,true,false,false,"8252","2024-12-17","Korttidskontrakt"
"Haninge","Vega",18.13403964,59.18573987,"1","26",false,true,false,false,"13408","2024-12-17","Hyresrätt"
"Nacka","Fisksätra",18.251725208,59.291365789,"1","23",false,true,false,false,"11462","2024-12-17","Hyresrätt"
"Täby","Täby park",18.090633,59.44525,"1","22",false,true,false,false,"15631","2024-12-17","Hyresrätt"
"Stockholm","Kista",17.944263592,59.403956937,"1","26",false,true,false,false,"5823","2024-12-17","Studentlägenhet"
"Stockholm","Norra Djurgården",18.05953,59.35726,"1","23",false,true,false,false,"7375","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.944263592,59.403956937,"1","44",false,true,false,false,"6129","2024-12-17","Studentlägenhet"
"Stockholm","Tallkrogen",18.081537011,59.264556739,"2","47",true,true,false,false,"6900","2024-12-17","Studentlägenhet"
"Stockholm","Johanneshov",18.079379297,59.297973068,"3","71",true,false,true,false,"5728","2024-12-17","Ungdomslägenhet"
"Nacka","Fisksätra",18.253018005,59.291278635,"2","42",true,false,true,false,"6397","2024-12-17","Ungdomslägenhet"
"Täby","Viggbyholm",18.100372553,59.443836983,"2","35",true,true,false,false,"19336","2024-12-17","Hyresrätt"
"Stockholm","Kista",17.944263592,59.403956937,"1","32",true,false,false,false,"6232","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.943893502,59.404232383,"2","54",true,true,false,false,"5432","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.943893502,59.404232383,"1","22",true,true,false,false,"5432","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.943893502,59.404232383,"1","42",true,true,false,false,"5432","2024-12-17","Studentlägenhet"
"Nacka","Fisksätra",18.254450649,59.29191626,"1","27",true,true,false,false,"12436","2024-12-17","Hyresrätt"
"Stockholm","Kista",17.943893502,59.404232383,"2","35",true,true,false,false,"5830","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.944263592,59.403956937,"3","68",true,true,false,false,"5432","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.944263592,59.403956937,"2","55",true,true,false,false,"6187","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.943893502,59.404232383,"2","65",true,false,false,false,"8052","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.944263592,59.403956937,"2","57",false,true,false,false,"6129","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.944263592,59.403956937,"3","65",true,true,false,false,"6129","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"3","60",true,true,false,false,"8738","2024-12-18","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"4","97",false,true,false,false,"8738","2024-12-18","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"3","77",true,true,false,false,"8738","2024-12-18","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"3","74",true,false,false,false,"8738","2024-12-18","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"2","49",true,true,false,false,"8738","2024-12-18","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"3","82",true,false,false,false,"8738","2024-12-18","Studentlägenhet"
"Värmdö","Stavsnäs",18.690969981,59.28520151,"3","55",true,true,false,false,"8477","2024-12-18","Korttidskontrakt"
"Tyresö","Bollmora",18.222364,59.246902,"1","21",false,true,false,false,"7844","2024-12-18","Hyresrätt"
"Tyresö","Bollmora",18.222364,59.246902,"1","24",false,true,false,false,"12500","2024-12-18","Hyresrätt"
"Haninge","Handen",18.134069466,59.158603766,"1","27",false,true,true,false,"5539","2024-12-18","UngdomKorttid"
"Lidingö","Larsberg",18.147579432,59.348486215,"2","63",true,false,true,false,"7854","2024-12-18","UngdomKorttid"
"Salem","Rönninge",17.74983,59.19388,"2","55",true,true,false,false,"7070","2024-12-18","Hyresrätt"
"Järfälla","Barkarbystaden",17.873753,59.413273,"2","72",false,true,false,false,"7784","2024-12-17","Hyresrätt"
"Lidingö","Larsberg",18.147579432,59.348486215,"2","43",true,true,true,false,"7990","2024-12-18","UngdomKorttid"
"Tyresö","Bollmora",18.222988,59.24655,"2","35",false,true,false,false,"9271","2024-12-18","Hyresrätt"
"Sigtuna","Märsta Centrum",17.855379581,59.61992876,"5","112",true,true,false,false,"10114","2024-12-18","Hyresrätt"
"Sollentuna","Rotsunda",17.918001022,59.48080769,"2","35",false,true,false,false,"8045","2024-12-18","Korttidskontrakt"
"Södertälje","Blombacka",17.59726376,59.189777211,"1","33",true,true,false,false,"7956","2024-12-18","Hyresrätt"
"Stockholm","Bromsten",17.910686731,59.378343234,"2","56",false,true,false,false,"10569","2024-12-18","Hyresrätt"
"Nynäshamn","Ösmo",17.902299511,58.987814343,"1","22",false,true,false,false,"5372","2024-12-18","Hyresrätt"
"Järfälla","Söderhöjden",17.851839066,59.417100084,"1","25",true,true,false,false,"11957","2024-12-18","Hyresrätt"
"Nacka","Orminge",18.23246,59.340057,"3","82",true,false,false,false,"6912","2024-12-18","Hyresrätt"
"Upplands Väsby","Väsby Centrum",17.91522932,59.517140037,"3","82",true,false,false,false,"9551","2024-12-18","Hyresrätt"
"Stockholm","Hässelby Strand",17.834541426,59.362904752,"3","82",true,false,false,false,"4128","2024-12-18","Hyresrätt"
"Stockholm","Bromsten",17.910686731,59.378343234,"3","82",true,false,false,false,"10569","2024-12-18","Hyresrätt"
"Stockholm","Hägerstensåsen",17.979254723,59.296232084,"3","82",true,false,false,false,"12613","2024-12-18","Hyresrätt"
"Stockholm","Liljeholmen",18.023524111,59.305967289,"3","82",true,false,false,false,"11580","2024-12-18","Hyresrätt"
"Vallentuna","Vallentuna C",18.0747791,59.538110699,"1","37",false,false,false,false,"10517","2024-12-18","Hyresrätt"
"Upplands Väsby","Väsby Centrum",17.917639017,59.517123982,"4","107",true,false,false,true,"10738","2024-12-18","SeniorbostadPlus65"
"Värmdö","Ingarö",18.427570324,59.282636319,"2","38",true,true,false,false,"9462","2024-12-18","Hyresrätt"
"Värmdö","Lugnet",18.391471113,59.33354343,"2","56",true,true,false,false,"6617","2024-12-18","Hyresrätt"
"Täby","Viggbyholm",18.100372553,59.443836983,"2","42",true,true,false,false,"15251","2024-12-18","Hyresrätt"
"Nacka","Orminge",18.255050182,59.327295371,"3","83",true,true,false,false,"10188","2024-12-18","Hyresrätt"
"Nacka","Orminge",18.255050182,59.327295371,"1","42",true,true,false,false,"18193","2024-12-18","Hyresrätt"
"Nacka","Orminge",18.255050182,59.327295371,"3","81",true,false,false,false,"12614","2024-12-18","Hyresrätt"
"Nacka","Orminge",18.255050182,59.327295371,"1","42",true,true,false,false,"17707","2024-12-18","Hyresrätt"
"Täby","Täby park",18.08844,59.444126,"2","28",false,true,false,false,"15116","2024-12-18","Hyresrätt"
"Solna","Ulriksdal",17.998376232,59.377952062,"2","29",false,true,true,false,"7393","2024-12-18","UngdomKorttid"
"Sundbyberg","Ursvik",17.943828106,59.386118912,"1","49",false,true,false,false,"10608","2024-12-18","Hyresrätt"
"Sollentuna","Rotebro",17.911532164,59.475576244,"2","65",true,false,false,false,"7598","2024-12-18","Korttidskontrakt"
"Sundbyberg","Ursvik",17.94323802,59.385949538,"2","63",false,true,false,false,"11808","2024-12-18","Hyresrätt"
"Stockholm","Norra Djurgården",18.059442043,59.35520237,"2","68",true,true,false,false,"7513","2024-12-18","Studentlägenhet"
"Järfälla","Barkarbystaden",17.870335579,59.415669884,"2","31",false,true,false,false,"4933","2024-12-18","Studentlägenhet"
"Järfälla","Barkarbystaden",17.868908644,59.415484281,"1","23",false,true,false,false,"5161","2024-12-18","Hyresrätt"
"Sigtuna","Norrbacka",17.858622646,59.634540848,"2","55",true,true,false,false,"9917","2024-12-18","Hyresrätt"
"Salem","Rönninge",17.773153782,59.206008296,"1","22",false,true,false,false,"11036","2024-12-18","Hyresrätt"
"Järfälla","Barkarbystaden",17.869284153,59.415347807,"1","28",true,true,false,false,"9487","2024-12-18","Hyresrätt"
